Referee,Games_Officiated,Total_Travel_Miles,Avg_Miles_Per_Trip,Max_Single_Trip
Davis Maxwell,3,361.06,180.53,297.04
Jesse Joseph,13,357.53,29.79,178.76
Martin Cichoki,3,356.21,178.11,356.21
Jason Stallworth,13,353.88,29.49,180.96
Grant Todey,7,351.13,58.52,351.13
Larry Hamilton,7,350.59,58.43,216.72
Keith Bennett,11,343.89,34.39,172.95
Marcus Hawkins,10,337.89,37.54,337.89
Sparky Hamilton,12,323.11,29.37,225.06
RB Clyburn,5,322.19,80.55,322.19
Kyle Ray,4,322.18,107.39,180.88
Jake Kuhlman,8,322.07,46.01,322.07
John Hendricks,15,320.94,22.92,202.15
Matthew Martinez,7,314.0,52.33,314.0
Jeffery Johnson,5,310.51,77.63,310.51
Derek Henry,10,307.3,34.14,307.3
Garrett Jones,6,305.23,61.05,149.3
Chris Balunek,2,303.09,303.09,303.09
Kael Saloy,14,297.1,22.85,173.52
Matt Ditty,5,291.51,72.88,291.51
Alex Langley,11,289.6,28.96,152.81
Earnie Pheal,9,289.31,36.16,123.57
Dave Cronin Sr.,3,289.01,144.51,289.01
Jon Broska,15,276.3,19.74,92.1
Andre Crawford,21,272.23,13.61,272.23
Daniel Shafer,3,272.23,136.11,272.23
Rod Mrakovich,3,260.59,130.3,260.59
Mike McCloskey,18,257.55,15.15,257.55
William Humes,7,256.19,42.7,156.95
Corey Haney,9,252.56,31.57,153.32
Boyd Copeland,8,249.46,35.64,249.46
Craig Lastres,9,245.5,30.69,245.5
Adam Vandenburg,2,245.35,245.35,245.35
Josean Vega,21,242.27,12.11,242.27
Christopher Brown,14,240.98,18.54,240.98
Tiger Womack,9,240.98,30.12,240.98
Josh Pitto,8,236.41,33.77,236.41
Justin Dorris,6,236.41,47.28,236.41
Jeremy Campbell,15,232.95,16.64,232.95
Brad Gaston,13,232.48,19.37,232.48
Brett Smith,2,232.48,232.48,232.48
Jeffrey Malham,9,232.48,29.06,232.48
Jackson Strong,5,232.48,58.12,232.48
Dillon Brasher,7,226.16,37.69,226.16
Hayden Hilty,3,221.07,110.53,221.07
Stephen Sherrill,8,216.79,30.97,216.79
Devon Maio,12,210.52,19.14,172.11
Michael Kolen,5,192.71,48.18,111.32
Scott Siville,6,190.79,38.16,190.79
Kellen Milliner,4,188.15,62.72,188.15
Jordan Conley,13,184.2,15.35,92.1
Adam James,8,184.2,26.31,92.1
Trent Lovewell,19,182.2,10.12,182.2
Mason Silver,3,179.14,89.57,146.21
Tony Dawkins,9,176.19,22.02,176.19
John Dillon,13,173.14,14.43,173.14
Joseph Brogan,3,172.92,86.46,112.25
Kyle Brown,2,169.76,169.76,169.76
Doug George,10,163.5,18.17,163.5
Italo Araujo,8,161.57,23.08,161.57
Jason Creek,10,158.02,17.56,158.02
Kyle Stewart,24,158.02,6.87,158.02
Kastine Evans,12,155.88,14.17,155.88
Matthew LaGanke,8,154.7,22.1,153.32
"Edward Corbett, Jr.",8,153.37,21.91,153.37
Jon Riggsbee,11,153.32,15.33,153.32
Brad Fowler,2,152.77,152.77,152.77
Paul Tuomey,14,148.62,11.43,148.62
Mike Kitts,6,142.29,28.46,142.29
Rufus Lott III,10,139.56,15.51,139.56
Jermaine Rodgers,3,137.93,68.96,133.63
Winston Trotter,8,137.77,19.68,137.77
Jim Ostwalt,4,132.66,44.22,132.66
Bill Elk,4,124.92,41.64,124.92
Kendall Pike,11,121.92,12.19,121.92
"Ed Corbett, Jr.",2,121.79,121.79,121.79
Johnny Harrington,5,121.41,30.35,121.41
Grant Jeffers,2,118.75,118.75,118.75
Brelan Hillman,2,115.18,115.18,115.18
Moe Najmyar,3,111.57,55.78,111.57
Chris McCurry,8,101.47,14.5,101.47
Cody Vincent,9,95.92,11.99,95.92
Andrew Casas,12,92.1,8.37,92.1
Kenneth Totten,10,92.1,10.23,92.1
Joseph Carmisione,12,89.65,8.15,89.65
"Steven Perry, Jr.",2,88.97,88.97,88.97
Donald Daniels,11,81.39,8.14,81.39
Chet Walker,4,70.29,23.43,37.08
Leon Sandiford,3,70.29,35.14,37.08
Toby Doolittle,14,56.05,4.31,56.05
Phil Sallustio Jr,2,42.62,42.62,42.62
